home_team,away_team,actual_total,minimum_line,sim_mean,hit_rate,cushion,hit_over
Massachusetts,Green Bay,154,148.5,160.59378768940564,81.08,12.093787689405644,True
Dayton,N.C. Central,129,132.5,144.62672598353353,87.92,12.126725983533532,False
Navy,NJIT,156,144.0,156.0461023130537,75.48,12.046102313053694,True
Marquette,Central Mich.,156,138.5,150.33427065121998,76.12,11.834270651219981,True
Illinois,LIU,156,153.5,165.65052355925542,73.09,12.150523559255419,True
Boston U.,Harvard,149,133.5,145.48187961137438,74.61,11.981879611374382,True
Le Moyne,Fairfield,180,154.5,166.66353947555888,79.09,12.163539475558878,True
New Haven,VTSU Lyndon,173,126.5,138.3819865352578,67.11,11.881986535257795,True
Georgetown,Wagner,167,144.0,156.040510329114,76.82,12.040510329114,True
Sam Houston,Schreiner,159,127.5,139.5133203510988,75.91,12.013320351098798,True
Coastal Carolina,North Dakota,133,145.0,157.02018788111508,65.75999999999999,12.020187881115078,False
Wichita St.,Milwaukee,133,151.0,163.12471657461128,72.43,12.124716574611284,False
Indiana St.,Ball St.,122,147.5,159.36121652283342,73.46000000000001,11.861216522833416,False
Loyola Chicago,NIU,135,134.0,145.98132243869455,77.84,11.981322438694548,True
Tulane,Utah St.,171,158.0,170.1169495271562,74.55000000000001,12.116949527156208,True
Colorado,UC Davis,174,150.0,162.10307869782622,86.67,12.10307869782622,True
Stonehill,Lafayette,144,139.5,151.56943597354854,79.65,12.069435973548536,True
Idaho St.,Justice Col.,140,129.5,141.57965993066918,76.61,12.07965993066918,True
Duke,Niagara,142,143.5,155.59271855827538,77.82,12.09271855827538,False
Hawaii,Arizona St.,159,149.0,161.07096273123128,81.08999999999999,12.070962731231276,True
William & Mary,Regent,161,141.0,153.24687619848498,78.22,12.246876198484983,True
Yale,Green Bay,140,153.5,165.38068747324238,80.23,11.880687473242375,False
Alabama St.,IU Indy,181,170.5,182.3740133467842,83.04,11.87401334678421,True
Western Ill.,Coastal Carolina,148,134.5,146.68166826964531,68.65,12.181668269645314,True
South Carolina,Butler,151,150.0,162.03095054308903,87.83999999999999,12.030950543089034,True
Col. of Charleston,Massachusetts,134,150.0,162.04652814740865,87.06,12.046528147408651,False
Florida St.,Ga. Southern,170,153.0,164.88699255097453,76.49000000000001,11.886992550974526,True
Campbell,UT Arlington,138,150.0,161.91013043783158,68.58999999999999,11.910130437831583,False
Boston College,Davidson,108,138.0,149.93234857241805,70.56,11.93234857241805,False
