home_team,away_team,actual_total,maximum_line,sim_mean,under_hit_rate,cushion,under_won,margin,prediction_error,game_date
North Carolina,Radford,163,171.10766250201607,159.10766250201607,80.30000000000001,8.107662502016069,True,8.107662502016069,3.892337497983931,2025-11-11
CSU Bakersfield,Western Ill.,132,148.0199957209793,136.0199957209793,82.22,16.019995720979296,True,16.019995720979296,-4.019995720979296,2025-11-11
BYU,Delaware,153,175.97494186537614,163.97494186537614,82.78,22.974941865376138,True,22.974941865376138,-10.974941865376138,2025-11-11
New Mexico,UC Riverside,150,164.96457727411257,152.96457727411257,82.3,14.964577274112571,True,14.964577274112571,-2.964577274112571,2025-11-11
Ole Miss,Memphis,160,156.31888956703185,144.31888956703185,93.7,-3.681110432968154,False,-3.681110432968154,15.681110432968154,2025-11-11
Duquesne,Queens (NC),168,177.46620620642403,165.46620620642403,85.66,9.466206206424033,True,9.466206206424033,2.533793793575967,2025-11-11
Saint Francis,Mount St. Mary's,140,164.01231647248724,152.01231647248724,83.44,24.012316472487242,True,24.012316472487242,-12.012316472487242,2025-11-11
Wright St.,Toledo,152,174.9123252687891,162.9123252687891,81.46,22.91232526878909,True,22.91232526878909,-10.91232526878909,2025-11-11
Louisiana,Tulane,128,174.21958899916652,162.21958899916652,82.86,46.21958899916652,True,46.21958899916652,-34.21958899916652,2025-11-11
Saint Mary's (CA),Ohio,150,170.11669629728462,158.11669629728462,84.16,20.11669629728462,True,20.11669629728462,-8.11669629728462,2025-11-11
Seton Hall,Fairfield,141,167.29331105506847,155.29331105506847,82.39999999999999,26.29331105506847,True,26.29331105506847,-14.293311055068472,2025-11-10
Rutgers,Maine,132,158.82581818851523,146.82581818851523,83.22,26.82581818851523,True,26.82581818851523,-14.825818188515228,2025-11-10
LSU,New Orleans,151,174.29513349127504,162.29513349127504,82.28,23.29513349127504,True,23.29513349127504,-11.295133491275038,2025-11-10
Iowa St.,Mississippi St.,176,170.4098890312518,158.4098890312518,92.28,-5.590110968748206,False,-5.590110968748206,17.590110968748206,2025-11-10
Georgia Tech,Southeastern La.,130,149.84025877015102,137.84025877015102,84.66,19.840258770151024,True,19.840258770151024,-7.840258770151024,2025-11-10
